FIPS	relig	civic	bus	pol	prof	labor	bowl	fitns	golf	sport	pop	respn	nccs	assn	pvote
13201	7	N/A	2	N/A	N/A	N/A	1	N/A	N/A	N/A	5923	1.688333615	0.75	21	0.719284603
13205	21	4	3	N/A	1	N/A	N/A	2	1	N/A	22778	1.404864343	0.78	82	0.714224064
13207	18	1	4	N/A	N/A	N/A	N/A	3	3	N/A	27056	1.071850976	0.76	73	0.70707827
13209	8	N/A	1	N/A	N/A	N/A	N/A	N/A	1	N/A	8975	1.114206128	0.65	23	0.800167049
13211	20	1	2	N/A	N/A	N/A	N/A	2	N/A	N/A	17981	1.390356487	0.74	94	0.736116774
13213	12	1	2	N/A	N/A	N/A	N/A	N/A	1	N/A	39375	0.406349206	0.75	54	0.651847978
13215	156	25	7	2	2	5	1	13	3	1	201087	1.069188958	0.72	841	0.584079948
13217	57	2	3	N/A	N/A	3	N/A	5	1	N/A	103839	0.683750807	0.75	248	0.746198588
13219	31	1	4	1	2	N/A	N/A	4	2	N/A	35147	1.280336871	0.82	178	0.796753421
13221	9	1	2	N/A	N/A	N/A	N/A	1	1	N/A	14680	0.953678474	0.76	31	0.818822608
13223	47	N/A	2	1	2	1	N/A	14	3	N/A	148921	0.470047878	0.77	245	0.737482494
13225	16	1	2	N/A	N/A	N/A	N/A	3	1	N/A	26828	0.857313255	0.71	124	0.728031357
13227	19	N/A	1	N/A	N/A	N/A	N/A	3	1	N/A	30046	0.798775211	0.79	128	0.738540393
13229	16	N/A	1	N/A	1	N/A	N/A	N/A	2	N/A	19001	1.05257618	0.78	62	0.709430052
13231	19	N/A	3	N/A	N/A	N/A	N/A	1	1	N/A	17760	1.351351351	0.75	68	0.762841016
13233	36	2	2	N/A	N/A	3	N/A	4	4	N/A	41042	1.242629501	0.73	125	0.706688824
13235	11	1	2	N/A	1	N/A	N/A	N/A	1	N/A	11478	1.393971075	0.45	50	0.707260853
13237	17	3	3	N/A	N/A	N/A	N/A	4	N/A	N/A	21173	1.275208993	0.67	88	0.816178423
13239	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2303	0.43421624	0.3	12	0.776324845
13241	22	3	2	N/A	N/A	N/A	N/A	N/A	2	N/A	16230	1.786814541	0.61	118	0.769064303
13243	7	N/A	2	N/A	N/A	N/A	N/A	N/A	1	N/A	7300	1.369863014	0.41	28	0.755808206
13245	148	22	5	1	2	14	2	10	7	2	201149	1.058916525	0.72	815	0.724847729
13247	58	3	3	N/A	2	1	1	7	3	N/A	87681	0.889588394	0.73	347	0.75153919
13249	7	N/A	1	N/A	N/A	1	N/A	N/A	N/A	N/A	5143	1.74995139	0.53	19	0.728029988
13251	11	N/A	3	N/A	N/A	N/A	N/A	N/A	1	N/A	14074	1.065795083	0.68	55	0.726536446
13253	12	N/A	1	N/A	N/A	N/A	N/A	N/A	1	N/A	8651	1.618310022	0.49	25	0.750049751
13255	46	5	2	N/A	N/A	1	1	8	3	N/A	63872	1.033316633	0.76	229	0.703336137
13257	34	4	2	N/A	N/A	N/A	1	2	1	N/A	25455	1.728540562	0.7	142	0.684293948
13259	4	2	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5803	1.206272618	0.5	29	0.698284561
13261	31	1	2	N/A	N/A	N/A	N/A	1	1	N/A	31233	1.152627029	0.67	149	0.729543072
13263	3	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6377	0.784067743	0.5	26	0.769451179
13265	1	N/A	1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1693	1.181334908	0.7	7	0.756480754
13267	22	N/A	1	1	1	N/A	N/A	N/A	N/A	N/A	25195	0.992260369	0.49	47	0.694406833
13269	10	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	8421	1.425008906	0.54	27	0.700594059
13271	14	N/A	2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	16470	0.971463267	0.37	33	0.749913525
